model number,model name,time taken to optimise (in seconds),number of partitions,partition size
6,model_with_separate_variables_6,0.009171009063720703,250,50
7,model_with_separate_variables_7,0.00932002067565918,250,50
8,model_with_separate_variables_8,0.009187936782836914,250,50
9,model_with_separate_variables_9,0.00926518440246582,250,50
10,model_with_separate_variables_10,0.009039163589477539,250,50
11,model_with_separate_variables_11,0.009182929992675781,250,50
12,model_with_separate_variables_12,0.008964300155639648,250,50
13,model_with_separate_variables_13,0.008965015411376953,250,50
14,model_with_separate_variables_14,0.009066104888916016,250,50
15,model_with_separate_variables_15,0.008965015411376953,250,50
16,model_with_separate_variables_16,0.009032964706420898,250,50
17,model_with_separate_variables_17,0.009143829345703125,250,50
18,model_with_separate_variables_18,0.009076118469238281,250,50
19,model_with_separate_variables_19,0.008946895599365234,250,50
20,model_with_separate_variables_20,0.008948087692260742,250,50
21,model_with_separate_variables_21,0.00882101058959961,250,50
22,model_with_separate_variables_22,0.008994102478027344,250,50
23,model_with_separate_variables_23,0.008955240249633789,250,50
24,model_with_separate_variables_24,0.00881195068359375,250,50
0,model_with_pwl_costs_0,0.002084970474243164,250,50
1,model_with_pwl_costs_1,0.0020990371704101562,250,50
2,model_with_pwl_costs_2,0.002305746078491211,250,50
3,model_with_pwl_costs_3,0.0024559497833251953,250,50
4,model_with_pwl_costs_4,0.002351045608520508,250,50
5,model_with_pwl_costs_5,0.002302885055541992,250,50
6,model_with_pwl_costs_6,0.0022859573364257812,250,50
7,model_with_pwl_costs_7,0.0022521018981933594,250,50
8,model_with_pwl_costs_8,0.002393960952758789,250,50
9,model_with_pwl_costs_9,0.0024471282958984375,250,50
10,model_with_pwl_costs_10,0.0024068355560302734,250,50
11,model_with_pwl_costs_11,0.002315044403076172,250,50
12,model_with_pwl_costs_12,0.0020809173583984375,250,50
13,model_with_pwl_costs_13,0.0024878978729248047,250,50
14,model_with_pwl_costs_14,0.002396106719970703,250,50
15,model_with_pwl_costs_15,0.002482891082763672,250,50
16,model_with_pwl_costs_16,0.002335071563720703,250,50
17,model_with_pwl_costs_17,0.002315998077392578,250,50
18,model_with_pwl_costs_18,0.0023860931396484375,250,50
19,model_with_pwl_costs_19,0.0024209022521972656,250,50
20,model_with_pwl_costs_20,0.0023360252380371094,250,50
21,model_with_pwl_costs_21,0.002357959747314453,250,50
22,model_with_pwl_costs_22,0.0022902488708496094,250,50
23,model_with_pwl_costs_23,0.0023980140686035156,250,50
24,model_with_pwl_costs_24,0.002135038375854492,250,50
0,model_with_separate_variables_0,0.022072792053222656,500,50
1,model_with_separate_variables_1,0.02286815643310547,500,50
2,model_with_separate_variables_2,0.021807193756103516,500,50
3,model_with_separate_variables_3,0.0232088565826416,500,50
4,model_with_separate_variables_4,0.02239513397216797,500,50
5,model_with_separate_variables_5,0.022449970245361328,500,50
6,model_with_separate_variables_6,0.023932218551635742,500,50
7,model_with_separate_variables_7,0.02338409423828125,500,50
8,model_with_separate_variables_8,0.02332305908203125,500,50
9,model_with_separate_variables_9,0.023219823837280273,500,50
10,model_with_separate_variables_10,0.022703170776367188,500,50
11,model_with_separate_variables_11,0.022783994674682617,500,50
12,model_with_separate_variables_12,0.02261495590209961,500,50
13,model_with_separate_variables_13,0.02491593360900879,500,50
14,model_with_separate_variables_14,0.022124052047729492,500,50
15,model_with_separate_variables_15,0.02243494987487793,500,50
16,model_with_separate_variables_16,0.02289414405822754,500,50
17,model_with_separate_variables_17,0.022073745727539062,500,50
18,model_with_separate_variables_18,0.024471044540405273,500,50
19,model_with_separate_variables_19,0.024461746215820312,500,50
20,model_with_separate_variables_20,0.0241091251373291,500,50
21,model_with_separate_variables_21,0.022761106491088867,500,50
22,model_with_separate_variables_22,0.023357868194580078,500,50
23,model_with_separate_variables_23,0.023375749588012695,500,50
24,model_with_separate_variables_24,0.024418115615844727,500,50
0,model_with_pwl_costs_0,0.0022051334381103516,500,50
1,model_with_pwl_costs_1,0.002249002456665039,500,50
2,model_with_pwl_costs_2,0.0023872852325439453,500,50
3,model_with_pwl_costs_3,0.0021109580993652344,500,50
4,model_with_pwl_costs_4,0.0021419525146484375,500,50
5,model_with_pwl_costs_5,0.0022051334381103516,500,50
6,model_with_pwl_costs_6,0.002107858657836914,500,50
7,model_with_pwl_costs_7,0.0028259754180908203,500,50
8,model_with_pwl_costs_8,0.002151012420654297,500,50
9,model_with_pwl_costs_9,0.0021212100982666016,500,50
10,model_with_pwl_costs_10,0.0021979808807373047,500,50
11,model_with_pwl_costs_11,0.002328157424926758,500,50
12,model_with_pwl_costs_12,0.002200603485107422,500,50
13,model_with_pwl_costs_13,0.002110004425048828,500,50
14,model_with_pwl_costs_14,0.00228118896484375,500,50
15,model_with_pwl_costs_15,0.0021660327911376953,500,50
16,model_with_pwl_costs_16,0.002270221710205078,500,50
17,model_with_pwl_costs_17,0.0024900436401367188,500,50
18,model_with_pwl_costs_18,0.0025451183319091797,500,50
19,model_with_pwl_costs_19,0.0021729469299316406,500,50
20,model_with_pwl_costs_20,0.0022618770599365234,500,50
21,model_with_pwl_costs_21,0.0022640228271484375,500,50
22,model_with_pwl_costs_22,0.0023391246795654297,500,50
23,model_with_pwl_costs_23,0.002451181411743164,500,50
24,model_with_pwl_costs_24,0.0023889541625976562,500,50
0,model_with_separate_variables_0,0.0005991458892822266,5,100
1,model_with_separate_variables_1,0.0005397796630859375,5,100
2,model_with_separate_variables_2,0.000537872314453125,5,100
3,model_with_separate_variables_3,0.0005290508270263672,5,100
4,model_with_separate_variables_4,0.0005629062652587891,5,100
5,model_with_separate_variables_5,0.0005979537963867188,5,100
6,model_with_separate_variables_6,0.0005640983581542969,5,100
7,model_with_separate_variables_7,0.0005848407745361328,5,100
8,model_with_separate_variables_8,0.0005807876586914062,5,100
9,model_with_separate_variables_9,0.0007009506225585938,5,100
10,model_with_separate_variables_10,0.000614166259765625,5,100
11,model_with_separate_variables_11,0.0005500316619873047,5,100
12,model_with_separate_variables_12,0.0005810260772705078,5,100
13,model_with_separate_variables_13,0.0005431175231933594,5,100
14,model_with_separate_variables_14,0.0005459785461425781,5,100
15,model_with_separate_variables_15,0.0005431175231933594,5,100
16,model_with_separate_variables_16,0.0005490779876708984,5,100
17,model_with_separate_variables_17,0.0005540847778320312,5,100
18,model_with_separate_variables_18,0.0005891323089599609,5,100
19,model_with_separate_variables_19,0.0005412101745605469,5,100
20,model_with_separate_variables_20,0.0005402565002441406,5,100
21,model_with_separate_variables_21,0.0005431175231933594,5,100
22,model_with_separate_variables_22,0.0005471706390380859,5,100
23,model_with_separate_variables_23,0.0005421638488769531,5,100
24,model_with_separate_variables_24,0.0005450248718261719,5,100
0,model_with_pwl_costs_0,0.00013017654418945312,5,100
1,model_with_pwl_costs_1,0.00011515617370605469,5,100
2,model_with_pwl_costs_2,0.00011110305786132812,5,100
3,model_with_pwl_costs_3,0.00010800361633300781,5,100
4,model_with_pwl_costs_4,0.00010609626770019531,5,100
5,model_with_pwl_costs_5,0.00010585784912109375,5,100
6,model_with_pwl_costs_6,0.00010418891906738281,5,100
7,model_with_pwl_costs_7,0.00010800361633300781,5,100
8,model_with_pwl_costs_8,0.00010800361633300781,5,100
9,model_with_pwl_costs_9,0.00010609626770019531,5,100
10,model_with_pwl_costs_10,0.0001049041748046875,5,100
11,model_with_pwl_costs_11,0.00010800361633300781,5,100
12,model_with_pwl_costs_12,0.00010704994201660156,5,100
13,model_with_pwl_costs_13,0.00010800361633300781,5,100
14,model_with_pwl_costs_14,0.00010585784912109375,5,100
15,model_with_pwl_costs_15,0.000102996826171875,5,100
16,model_with_pwl_costs_16,0.00010704994201660156,5,100
17,model_with_pwl_costs_17,0.00010800361633300781,5,100
18,model_with_pwl_costs_18,0.000102996826171875,5,100
19,model_with_pwl_costs_19,0.0001049041748046875,5,100
20,model_with_pwl_costs_20,0.00010704994201660156,5,100
21,model_with_pwl_costs_21,0.00010609626770019531,5,100
22,model_with_pwl_costs_22,0.00010609626770019531,5,100
23,model_with_pwl_costs_23,0.0001049041748046875,5,100
24,model_with_pwl_costs_24,0.000102996826171875,5,100
0,model_with_separate_variables_0,0.0016100406646728516,20,100
1,model_with_separate_variables_1,0.0014011859893798828,20,100
2,model_with_separate_variables_2,0.0013551712036132812,20,100
3,model_with_separate_variables_3,0.0014019012451171875,20,100
4,model_with_separate_variables_4,0.0014929771423339844,20,100
5,model_with_separate_variables_5,0.0017330646514892578,20,100
6,model_with_separate_variables_6,0.0013980865478515625,20,100
7,model_with_separate_variables_7,0.0015759468078613281,20,100
8,model_with_separate_variables_8,0.0013668537139892578,20,100
9,model_with_separate_variables_9,0.0013580322265625,20,100
10,model_with_separate_variables_10,0.0013508796691894531,20,100
11,model_with_separate_variables_11,0.001361846923828125,20,100
12,model_with_separate_variables_12,0.0013670921325683594,20,100
13,model_with_separate_variables_13,0.0013720989227294922,20,100
14,model_with_separate_variables_14,0.0013470649719238281,20,100
15,model_with_separate_variables_15,0.0013759136199951172,20,100
16,model_with_separate_variables_16,0.0014846324920654297,20,100
17,model_with_separate_variables_17,0.0013630390167236328,20,100
18,model_with_separate_variables_18,0.001363992691040039,20,100
19,model_with_separate_variables_19,0.0013730525970458984,20,100
20,model_with_separate_variables_20,0.0013670921325683594,20,100
21,model_with_separate_variables_21,0.0013492107391357422,20,100
22,model_with_separate_variables_22,0.001386880874633789,20,100
23,model_with_separate_variables_23,0.0013377666473388672,20,100
24,model_with_separate_variables_24,0.0013539791107177734,20,100
0,model_with_pwl_costs_0,0.000408172607421875,20,100
1,model_with_pwl_costs_1,0.0003509521484375,20,100
2,model_with_pwl_costs_2,0.00034809112548828125,20,100
3,model_with_pwl_costs_3,0.0004119873046875,20,100
4,model_with_pwl_costs_4,0.000370025634765625,20,100
5,model_with_pwl_costs_5,0.00042700767517089844,20,100
6,model_with_pwl_costs_6,0.0003707408905029297,20,100
7,model_with_pwl_costs_7,0.0003180503845214844,20,100
8,model_with_pwl_costs_8,0.0003650188446044922,20,100
9,model_with_pwl_costs_9,0.0003418922424316406,20,100
10,model_with_pwl_costs_10,0.0003809928894042969,20,100
11,model_with_pwl_costs_11,0.00038814544677734375,20,100
12,model_with_pwl_costs_12,0.0004291534423828125,20,100
13,model_with_pwl_costs_13,0.0003688335418701172,20,100
14,model_with_pwl_costs_14,0.0003077983856201172,20,100
15,model_with_pwl_costs_15,0.0003528594970703125,20,100
16,model_with_pwl_costs_16,0.00035500526428222656,20,100
17,model_with_pwl_costs_17,0.00033211708068847656,20,100
18,model_with_pwl_costs_18,0.0003230571746826172,20,100
19,model_with_pwl_costs_19,0.00037932395935058594,20,100
20,model_with_pwl_costs_20,0.0003390312194824219,20,100
21,model_with_pwl_costs_21,0.0003349781036376953,20,100
22,model_with_pwl_costs_22,0.0003502368927001953,20,100
23,model_with_pwl_costs_23,0.00035309791564941406,20,100
24,model_with_pwl_costs_24,0.0003380775451660156,20,100
0,model_with_separate_variables_0,0.005174160003662109,50,100
1,model_with_separate_variables_1,0.0056917667388916016,50,100
2,model_with_separate_variables_2,0.005254030227661133,50,100
3,model_with_separate_variables_3,0.005223989486694336,50,100
4,model_with_separate_variables_4,0.005304098129272461,50,100
5,model_with_separate_variables_5,0.005626201629638672,50,100
6,model_with_separate_variables_6,0.005309104919433594,50,100
7,model_with_separate_variables_7,0.005494832992553711,50,100
8,model_with_separate_variables_8,0.005455970764160156,50,100
9,model_with_separate_variables_9,0.005231142044067383,50,100
10,model_with_separate_variables_10,0.0052509307861328125,50,100
11,model_with_separate_variables_11,0.005174875259399414,50,100
12,model_with_separate_variables_12,0.0052716732025146484,50,100
13,model_with_separate_variables_13,0.005184173583984375,50,100
14,model_with_separate_variables_14,0.005212068557739258,50,100
15,model_with_separate_variables_15,0.005190849304199219,50,100
16,model_with_separate_variables_16,0.005110979080200195,50,100
17,model_with_separate_variables_17,0.005190134048461914,50,100
18,model_with_separate_variables_18,0.005221843719482422,50,100
19,model_with_separate_variables_19,0.0051898956298828125,50,100
20,model_with_separate_variables_20,0.005136013031005859,50,100
21,model_with_separate_variables_21,0.0051250457763671875,50,100
22,model_with_separate_variables_22,0.005192279815673828,50,100
23,model_with_separate_variables_23,0.005203962326049805,50,100
24,model_with_separate_variables_24,0.005350828170776367,50,100
0,model_with_pwl_costs_0,0.0008790493011474609,50,100
1,model_with_pwl_costs_1,0.0007190704345703125,50,100
2,model_with_pwl_costs_2,0.0008041858673095703,50,100
3,model_with_pwl_costs_3,0.0007817745208740234,50,100
4,model_with_pwl_costs_4,0.0008089542388916016,50,100
5,model_with_pwl_costs_5,0.0009171962738037109,50,100
6,model_with_pwl_costs_6,0.000865936279296875,50,100
7,model_with_pwl_costs_7,0.0008587837219238281,50,100
8,model_with_pwl_costs_8,0.0008819103240966797,50,100
9,model_with_pwl_costs_9,0.0008959770202636719,50,100
10,model_with_pwl_costs_10,0.0008168220520019531,50,100
11,model_with_pwl_costs_11,0.000997781753540039,50,100
12,model_with_pwl_costs_12,0.0008029937744140625,50,100
13,model_with_pwl_costs_13,0.0009500980377197266,50,100
14,model_with_pwl_costs_14,0.0008761882781982422,50,100
15,model_with_pwl_costs_15,0.0009031295776367188,50,100
16,model_with_pwl_costs_16,0.0007641315460205078,50,100
17,model_with_pwl_costs_17,0.0008912086486816406,50,100
18,model_with_pwl_costs_18,0.0008902549743652344,50,100
19,model_with_pwl_costs_19,0.0008943080902099609,50,100
20,model_with_pwl_costs_20,0.0008099079132080078,50,100
21,model_with_pwl_costs_21,0.0009729862213134766,50,100
22,model_with_pwl_costs_22,0.0008230209350585938,50,100
23,model_with_pwl_costs_23,0.0009307861328125,50,100
24,model_with_pwl_costs_24,0.0008597373962402344,50,100
0,model_with_separate_variables_0,0.010974884033203125,100,100
1,model_with_separate_variables_1,0.010651111602783203,100,100
2,model_with_separate_variables_2,0.010742902755737305,100,100
3,model_with_separate_variables_3,0.010699987411499023,100,100
4,model_with_separate_variables_4,0.010415077209472656,100,100
5,model_with_separate_variables_5,0.010322093963623047,100,100
6,model_with_separate_variables_6,0.010274171829223633,100,100
7,model_with_separate_variables_7,0.010102033615112305,100,100
8,model_with_separate_variables_8,0.010092735290527344,100,100
9,model_with_separate_variables_9,0.010153055191040039,100,100
10,model_with_separate_variables_10,0.009999752044677734,100,100
11,model_with_separate_variables_11,0.010529041290283203,100,100
12,model_with_separate_variables_12,0.010290861129760742,100,100
13,model_with_separate_variables_13,0.010077238082885742,100,100
14,model_with_separate_variables_14,0.010058879852294922,100,100
15,model_with_separate_variables_15,0.01009821891784668,100,100
16,model_with_separate_variables_16,0.010001182556152344,100,100
17,model_with_separate_variables_17,0.00999903678894043,100,100
18,model_with_separate_variables_18,0.009758949279785156,100,100
19,model_with_separate_variables_19,0.009837865829467773,100,100
20,model_with_separate_variables_20,0.009868144989013672,100,100
21,model_with_separate_variables_21,0.009766817092895508,100,100
22,model_with_separate_variables_22,0.010210037231445312,100,100
23,model_with_separate_variables_23,0.010129928588867188,100,100
24,model_with_separate_variables_24,0.010249137878417969,100,100
0,model_with_pwl_costs_0,0.001641988754272461,100,100
1,model_with_pwl_costs_1,0.0015330314636230469,100,100
2,model_with_pwl_costs_2,0.0016598701477050781,100,100
3,model_with_pwl_costs_3,0.0017778873443603516,100,100
4,model_with_pwl_costs_4,0.0016109943389892578,100,100
5,model_with_pwl_costs_5,0.0016140937805175781,100,100
6,model_with_pwl_costs_6,0.0016808509826660156,100,100
7,model_with_pwl_costs_7,0.0016388893127441406,100,100
8,model_with_pwl_costs_8,0.001667022705078125,100,100
9,model_with_pwl_costs_9,0.001336812973022461,100,100
10,model_with_pwl_costs_10,0.001489877700805664,100,100
11,model_with_pwl_costs_11,0.0018389225006103516,100,100
12,model_with_pwl_costs_12,0.0014870166778564453,100,100
13,model_with_pwl_costs_13,0.0018391609191894531,100,100
14,model_with_pwl_costs_14,0.0015079975128173828,100,100
15,model_with_pwl_costs_15,0.0018880367279052734,100,100
16,model_with_pwl_costs_16,0.0016160011291503906,100,100
17,model_with_pwl_costs_17,0.0017061233520507812,100,100
18,model_with_pwl_costs_18,0.0017783641815185547,100,100
19,model_with_pwl_costs_19,0.0017461776733398438,100,100
20,model_with_pwl_costs_20,0.001766204833984375,100,100
21,model_with_pwl_costs_21,0.0015621185302734375,100,100
22,model_with_pwl_costs_22,0.0015139579772949219,100,100
23,model_with_pwl_costs_23,0.0016689300537109375,100,100
24,model_with_pwl_costs_24,0.0017459392547607422,100,100
0,model_with_separate_variables_0,0.03677797317504883,250,100
1,model_with_separate_variables_1,0.03521394729614258,250,100
2,model_with_separate_variables_2,0.034391164779663086,250,100
3,model_with_separate_variables_3,0.035186052322387695,250,100
4,model_with_separate_variables_4,0.035745859146118164,250,100
5,model_with_separate_variables_5,0.0356450080871582,250,100
6,model_with_separate_variables_6,0.035833120346069336,250,100
7,model_with_separate_variables_7,0.03530097007751465,250,100
8,model_with_separate_variables_8,0.0340428352355957,250,100
9,model_with_separate_variables_9,0.03455686569213867,250,100
10,model_with_separate_variables_10,0.034136056900024414,250,100
11,model_with_separate_variables_11,0.03567910194396973,250,100
12,model_with_separate_variables_12,0.03385305404663086,250,100
13,model_with_separate_variables_13,0.035637855529785156,250,100
14,model_with_separate_variables_14,0.03382992744445801,250,100
15,model_with_separate_variables_15,0.03705716133117676,250,100
16,model_with_separate_variables_16,0.03683590888977051,250,100
17,model_with_separate_variables_17,0.03851318359375,250,100
18,model_with_separate_variables_18,0.034951210021972656,250,100
19,model_with_separate_variables_19,0.03500080108642578,250,100
20,model_with_separate_variables_20,0.035243988037109375,250,100
21,model_with_separate_variables_21,0.03604602813720703,250,100
22,model_with_separate_variables_22,0.0362701416015625,250,100
23,model_with_separate_variables_23,0.03979372978210449,250,100
24,model_with_separate_variables_24,0.04106020927429199,250,100
0,model_with_pwl_costs_0,0.006595134735107422,250,100
1,model_with_pwl_costs_1,0.0050737857818603516,250,100
2,model_with_pwl_costs_2,0.006103992462158203,250,100
3,model_with_pwl_costs_3,0.006206989288330078,250,100
4,model_with_pwl_costs_4,0.00610804557800293,250,100
5,model_with_pwl_costs_5,0.006197929382324219,250,100
6,model_with_pwl_costs_6,0.006295919418334961,250,100
7,model_with_pwl_costs_7,0.006478786468505859,250,100
8,model_with_pwl_costs_8,0.005168914794921875,250,100
9,model_with_pwl_costs_9,0.006211996078491211,250,100
10,model_with_pwl_costs_10,0.006453037261962891,250,100
11,model_with_pwl_costs_11,0.0059490203857421875,250,100
12,model_with_pwl_costs_12,0.005323886871337891,250,100
13,model_with_pwl_costs_13,0.005484819412231445,250,100
14,model_with_pwl_costs_14,0.0065119266510009766,250,100
15,model_with_pwl_costs_15,0.006111860275268555,250,100
16,model_with_pwl_costs_16,0.006211042404174805,250,100
17,model_with_pwl_costs_17,0.006229877471923828,250,100
18,model_with_pwl_costs_18,0.006128072738647461,250,100
19,model_with_pwl_costs_19,0.006359100341796875,250,100
20,model_with_pwl_costs_20,0.006125926971435547,250,100
21,model_with_pwl_costs_21,0.0060999393463134766,250,100
22,model_with_pwl_costs_22,0.006114006042480469,250,100
23,model_with_pwl_costs_23,0.006082057952880859,250,100
24,model_with_pwl_costs_24,0.005326032638549805,250,100
0,model_with_separate_variables_0,0.06704998016357422,500,100
1,model_with_separate_variables_1,0.06986188888549805,500,100
2,model_with_separate_variables_2,0.07097792625427246,500,100
3,model_with_separate_variables_3,0.06698012351989746,500,100
4,model_with_separate_variables_4,0.06928181648254395,500,100
5,model_with_separate_variables_5,0.0653541088104248,500,100
6,model_with_separate_variables_6,0.07100629806518555,500,100
7,model_with_separate_variables_7,0.06702089309692383,500,100
8,model_with_separate_variables_8,0.06830906867980957,500,100
9,model_with_separate_variables_9,0.0669858455657959,500,100
10,model_with_separate_variables_10,0.06978297233581543,500,100
11,model_with_separate_variables_11,0.06825900077819824,500,100
12,model_with_separate_variables_12,0.06720280647277832,500,100
13,model_with_separate_variables_13,0.06924223899841309,500,100
14,model_with_separate_variables_14,0.0695650577545166,500,100
15,model_with_separate_variables_15,0.06895923614501953,500,100
16,model_with_separate_variables_16,0.06731200218200684,500,100
17,model_with_separate_variables_17,0.06497001647949219,500,100
18,model_with_separate_variables_18,0.06752920150756836,500,100
19,model_with_separate_variables_19,0.06447196006774902,500,100
20,model_with_separate_variables_20,0.06922698020935059,500,100
21,model_with_separate_variables_21,0.07180190086364746,500,100
22,model_with_separate_variables_22,0.06696295738220215,500,100
23,model_with_separate_variables_23,0.0687868595123291,500,100
24,model_with_separate_variables_24,0.06763720512390137,500,100
0,model_with_pwl_costs_0,0.005494832992553711,500,100
1,model_with_pwl_costs_1,0.005857944488525391,500,100
2,model_with_pwl_costs_2,0.005328178405761719,500,100
3,model_with_pwl_costs_3,0.005626201629638672,500,100
4,model_with_pwl_costs_4,0.0056493282318115234,500,100
5,model_with_pwl_costs_5,0.005744218826293945,500,100
6,model_with_pwl_costs_6,0.005555868148803711,500,100
7,model_with_pwl_costs_7,0.005218029022216797,500,100
8,model_with_pwl_costs_8,0.0058400630950927734,500,100
9,model_with_pwl_costs_9,0.005580902099609375,500,100
10,model_with_pwl_costs_10,0.0057430267333984375,500,100
11,model_with_pwl_costs_11,0.006055116653442383,500,100
12,model_with_pwl_costs_12,0.0056378841400146484,500,100
13,model_with_pwl_costs_13,0.005911111831665039,500,100
14,model_with_pwl_costs_14,0.006129026412963867,500,100
15,model_with_pwl_costs_15,0.005329132080078125,500,100
16,model_with_pwl_costs_16,0.005744218826293945,500,100
17,model_with_pwl_costs_17,0.006045818328857422,500,100
18,model_with_pwl_costs_18,0.005829811096191406,500,100
19,model_with_pwl_costs_19,0.0058748722076416016,500,100
20,model_with_pwl_costs_20,0.00628209114074707,500,100
21,model_with_pwl_costs_21,0.0062389373779296875,500,100
22,model_with_pwl_costs_22,0.006271839141845703,500,100
23,model_with_pwl_costs_23,0.0060710906982421875,500,100
24,model_with_pwl_costs_24,0.006206035614013672,500,100
0,model_with_separate_variables_0,0.0009188652038574219,5,250
1,model_with_separate_variables_1,0.0008759498596191406,5,250
2,model_with_separate_variables_2,0.0008680820465087891,5,250
3,model_with_separate_variables_3,0.0008540153503417969,5,250
4,model_with_separate_variables_4,0.0008587837219238281,5,250
5,model_with_separate_variables_5,0.0008540153503417969,5,250
6,model_with_separate_variables_6,0.0008471012115478516,5,250
7,model_with_separate_variables_7,0.0008459091186523438,5,250
8,model_with_separate_variables_8,0.0008480548858642578,5,250
9,model_with_separate_variables_9,0.0008490085601806641,5,250
10,model_with_separate_variables_10,0.0008599758148193359,5,250
11,model_with_separate_variables_11,0.0008609294891357422,5,250
12,model_with_separate_variables_12,0.0008540153503417969,5,250
13,model_with_separate_variables_13,0.0008609294891357422,5,250
14,model_with_separate_variables_14,0.0008656978607177734,5,250
15,model_with_separate_variables_15,0.0008599758148193359,5,250
16,model_with_separate_variables_16,0.0008640289306640625,5,250
17,model_with_separate_variables_17,0.0008559226989746094,5,250
18,model_with_separate_variables_18,0.0008618831634521484,5,250
19,model_with_separate_variables_19,0.0008668899536132812,5,250
20,model_with_separate_variables_20,0.0009348392486572266,5,250
21,model_with_separate_variables_21,0.0008728504180908203,5,250
22,model_with_separate_variables_22,0.0008680820465087891,5,250
23,model_with_separate_variables_23,0.0009021759033203125,5,250
24,model_with_separate_variables_24,0.0009031295776367188,5,250
0,model_with_pwl_costs_0,0.00019097328186035156,5,250
1,model_with_pwl_costs_1,0.00016617774963378906,5,250
2,model_with_pwl_costs_2,0.00015926361083984375,5,250
3,model_with_pwl_costs_3,0.00015878677368164062,5,250
4,model_with_pwl_costs_4,0.0003228187561035156,5,250
5,model_with_pwl_costs_5,0.00022292137145996094,5,250
6,model_with_pwl_costs_6,0.0001583099365234375,5,250
7,model_with_pwl_costs_7,0.00015616416931152344,5,250
8,model_with_pwl_costs_8,0.00015783309936523438,5,250
9,model_with_pwl_costs_9,0.00015783309936523438,5,250
10,model_with_pwl_costs_10,0.00015807151794433594,5,250
11,model_with_pwl_costs_11,0.0001590251922607422,5,250
12,model_with_pwl_costs_12,0.0001621246337890625,5,250
13,model_with_pwl_costs_13,0.0001590251922607422,5,250
14,model_with_pwl_costs_14,0.00015401840209960938,5,250
15,model_with_pwl_costs_15,0.0001571178436279297,5,250
16,model_with_pwl_costs_16,0.00015997886657714844,5,250
17,model_with_pwl_costs_17,0.00015997886657714844,5,250
18,model_with_pwl_costs_18,0.00015807151794433594,5,250
19,model_with_pwl_costs_19,0.00021004676818847656,5,250
20,model_with_pwl_costs_20,0.0001590251922607422,5,250
21,model_with_pwl_costs_21,0.00015306472778320312,5,250
22,model_with_pwl_costs_22,0.00015497207641601562,5,250
23,model_with_pwl_costs_23,0.0002429485321044922,5,250
24,model_with_pwl_costs_24,0.00018668174743652344,5,250
0,model_with_separate_variables_0,0.003526926040649414,20,250
1,model_with_separate_variables_1,0.003355264663696289,20,250
2,model_with_separate_variables_2,0.0033621788024902344,20,250
3,model_with_separate_variables_3,0.003494739532470703,20,250
4,model_with_separate_variables_4,0.003467082977294922,20,250
5,model_with_separate_variables_5,0.0034270286560058594,20,250
6,model_with_separate_variables_6,0.0037360191345214844,20,250
7,model_with_separate_variables_7,0.0033931732177734375,20,250
8,model_with_separate_variables_8,0.00341796875,20,250
9,model_with_separate_variables_9,0.0034151077270507812,20,250
10,model_with_separate_variables_10,0.003631114959716797,20,250
11,model_with_separate_variables_11,0.0035719871520996094,20,250
12,model_with_separate_variables_12,0.003309965133666992,20,250
13,model_with_separate_variables_13,0.003367900848388672,20,250
14,model_with_separate_variables_14,0.00333404541015625,20,250
15,model_with_separate_variables_15,0.003410816192626953,20,250
16,model_with_separate_variables_16,0.003300189971923828,20,250
17,model_with_separate_variables_17,0.0033600330352783203,20,250
18,model_with_separate_variables_18,0.003371000289916992,20,250
19,model_with_separate_variables_19,0.003366231918334961,20,250
20,model_with_separate_variables_20,0.0033359527587890625,20,250
21,model_with_separate_variables_21,0.0033867359161376953,20,250
22,model_with_separate_variables_22,0.003390073776245117,20,250
23,model_with_separate_variables_23,0.0032792091369628906,20,250
24,model_with_separate_variables_24,0.0033516883850097656,20,250
0,model_with_pwl_costs_0,0.0011658668518066406,20,250
1,model_with_pwl_costs_1,0.0010647773742675781,20,250
2,model_with_pwl_costs_2,0.0010466575622558594,20,250
3,model_with_pwl_costs_3,0.0010919570922851562,20,250
4,model_with_pwl_costs_4,0.0010561943054199219,20,250
5,model_with_pwl_costs_5,0.0010728836059570312,20,250
6,model_with_pwl_costs_6,0.0010900497436523438,20,250
7,model_with_pwl_costs_7,0.0011119842529296875,20,250
8,model_with_pwl_costs_8,0.0011091232299804688,20,250
9,model_with_pwl_costs_9,0.0010952949523925781,20,250
10,model_with_pwl_costs_10,0.001087188720703125,20,250
11,model_with_pwl_costs_11,0.0011560916900634766,20,250
12,model_with_pwl_costs_12,0.0011131763458251953,20,250
13,model_with_pwl_costs_13,0.001093149185180664,20,250
14,model_with_pwl_costs_14,0.0010828971862792969,20,250
15,model_with_pwl_costs_15,0.00115203857421875,20,250
16,model_with_pwl_costs_16,0.0010433197021484375,20,250
17,model_with_pwl_costs_17,0.0010809898376464844,20,250
18,model_with_pwl_costs_18,0.001035928726196289,20,250
19,model_with_pwl_costs_19,0.001043081283569336,20,250
20,model_with_pwl_costs_20,0.001065969467163086,20,250
21,model_with_pwl_costs_21,0.0011250972747802734,20,250
22,model_with_pwl_costs_22,0.0011856555938720703,20,250
23,model_with_pwl_costs_23,0.0010678768157958984,20,250
24,model_with_pwl_costs_24,0.0010662078857421875,20,250
0,model_with_separate_variables_0,0.008616209030151367,50,250
1,model_with_separate_variables_1,0.008738994598388672,50,250
2,model_with_separate_variables_2,0.008363962173461914,50,250
3,model_with_separate_variables_3,0.008640050888061523,50,250
