model number,model name,time taken to build model (in seconds),number of partitions,partition size
5,model_with_pwl_costs_5,0.0012760162353515625,5,100
6,model_with_pwl_costs_6,0.0012850761413574219,5,100
7,model_with_pwl_costs_7,0.0012881755828857422,5,100
8,model_with_pwl_costs_8,0.0012941360473632812,5,100
9,model_with_pwl_costs_9,0.0013492107391357422,5,100
10,model_with_pwl_costs_10,0.0013072490692138672,5,100
11,model_with_pwl_costs_11,0.0013120174407958984,5,100
12,model_with_pwl_costs_12,0.0013153553009033203,5,100
13,model_with_pwl_costs_13,0.0013208389282226562,5,100
14,model_with_pwl_costs_14,0.0013260841369628906,5,100
15,model_with_pwl_costs_15,0.0013327598571777344,5,100
16,model_with_pwl_costs_16,0.0013391971588134766,5,100
17,model_with_pwl_costs_17,0.0013463497161865234,5,100
18,model_with_pwl_costs_18,0.0013470649719238281,5,100
19,model_with_pwl_costs_19,0.0013530254364013672,5,100
20,model_with_pwl_costs_20,0.0013582706451416016,5,100
21,model_with_pwl_costs_21,0.0013670921325683594,5,100
22,model_with_pwl_costs_22,0.0013689994812011719,5,100
23,model_with_pwl_costs_23,0.0013742446899414062,5,100
24,model_with_pwl_costs_24,0.0013782978057861328,5,100
0,model_with_separate_variables_0,0.011262655258178711,20,100
1,model_with_separate_variables_1,0.014827966690063477,20,100
2,model_with_separate_variables_2,0.018428564071655273,20,100
3,model_with_separate_variables_3,0.021173954010009766,20,100
4,model_with_separate_variables_4,0.024897098541259766,20,100
5,model_with_separate_variables_5,0.028436899185180664,20,100
6,model_with_separate_variables_6,0.03991508483886719,20,100
7,model_with_separate_variables_7,0.03524589538574219,20,100
8,model_with_separate_variables_8,0.03905296325683594,20,100
9,model_with_separate_variables_9,0.042244911193847656,20,100
10,model_with_separate_variables_10,0.04433178901672363,20,100
11,model_with_separate_variables_11,0.048258066177368164,20,100
12,model_with_separate_variables_12,0.05142092704772949,20,100
13,model_with_separate_variables_13,0.05447983741760254,20,100
14,model_with_separate_variables_14,0.058305978775024414,20,100
15,model_with_separate_variables_15,0.06139087677001953,20,100
16,model_with_separate_variables_16,0.06504607200622559,20,100
17,model_with_separate_variables_17,0.06797599792480469,20,100
18,model_with_separate_variables_18,0.08359479904174805,20,100
19,model_with_separate_variables_19,0.07480192184448242,20,100
20,model_with_separate_variables_20,0.07752585411071777,20,100
21,model_with_separate_variables_21,0.08118414878845215,20,100
22,model_with_separate_variables_22,0.08489990234375,20,100
23,model_with_separate_variables_23,0.0879969596862793,20,100
24,model_with_separate_variables_24,0.09163069725036621,20,100
0,model_with_pwl_costs_0,0.0021457672119140625,20,100
1,model_with_pwl_costs_1,0.003011941909790039,20,100
2,model_with_pwl_costs_2,0.002137899398803711,20,100
3,model_with_pwl_costs_3,0.002155780792236328,20,100
4,model_with_pwl_costs_4,0.0021772384643554688,20,100
5,model_with_pwl_costs_5,0.0021958351135253906,20,100
6,model_with_pwl_costs_6,0.002218008041381836,20,100
7,model_with_pwl_costs_7,0.002248048782348633,20,100
8,model_with_pwl_costs_8,0.0022580623626708984,20,100
9,model_with_pwl_costs_9,0.002276897430419922,20,100
10,model_with_pwl_costs_10,0.002279043197631836,20,100
11,model_with_pwl_costs_11,0.0022978782653808594,20,100
12,model_with_pwl_costs_12,0.0023849010467529297,20,100
13,model_with_pwl_costs_13,0.002399921417236328,20,100
14,model_with_pwl_costs_14,0.0024068355560302734,20,100
15,model_with_pwl_costs_15,0.00243377685546875,20,100
16,model_with_pwl_costs_16,0.0024640560150146484,20,100
17,model_with_pwl_costs_17,0.0024261474609375,20,100
18,model_with_pwl_costs_18,0.002480030059814453,20,100
19,model_with_pwl_costs_19,0.0024962425231933594,20,100
20,model_with_pwl_costs_20,0.002441883087158203,20,100
21,model_with_pwl_costs_21,0.0024700164794921875,20,100
22,model_with_pwl_costs_22,0.002482891082763672,20,100
23,model_with_pwl_costs_23,0.002568960189819336,20,100
24,model_with_pwl_costs_24,0.0025959014892578125,20,100
0,model_with_separate_variables_0,0.027532100677490234,50,100
1,model_with_separate_variables_1,0.036437034606933594,50,100
2,model_with_separate_variables_2,0.043810129165649414,50,100
3,model_with_separate_variables_3,0.05414390563964844,50,100
4,model_with_separate_variables_4,0.06250214576721191,50,100
5,model_with_separate_variables_5,0.0697488784790039,50,100
6,model_with_separate_variables_6,0.07812309265136719,50,100
7,model_with_separate_variables_7,0.10152912139892578,50,100
8,model_with_separate_variables_8,0.09480428695678711,50,100
9,model_with_separate_variables_9,0.0999000072479248,50,100
10,model_with_separate_variables_10,0.10870599746704102,50,100
11,model_with_separate_variables_11,0.11948919296264648,50,100
12,model_with_separate_variables_12,0.14622211456298828,50,100
13,model_with_separate_variables_13,0.13175201416015625,50,100
14,model_with_separate_variables_14,0.14023184776306152,50,100
15,model_with_separate_variables_15,0.14946293830871582,50,100
16,model_with_separate_variables_16,0.15705490112304688,50,100
17,model_with_separate_variables_17,0.19102716445922852,50,100
18,model_with_separate_variables_18,0.17628002166748047,50,100
19,model_with_separate_variables_19,0.18124675750732422,50,100
20,model_with_separate_variables_20,0.18968415260314941,50,100
21,model_with_separate_variables_21,0.2000732421875,50,100
22,model_with_separate_variables_22,0.20999813079833984,50,100
23,model_with_separate_variables_23,0.2454850673675537,50,100
24,model_with_separate_variables_24,0.22862005233764648,50,100
0,model_with_pwl_costs_0,0.003826141357421875,50,100
1,model_with_pwl_costs_1,0.003798961639404297,50,100
2,model_with_pwl_costs_2,0.003942251205444336,50,100
3,model_with_pwl_costs_3,0.003918886184692383,50,100
4,model_with_pwl_costs_4,0.003942251205444336,50,100
5,model_with_pwl_costs_5,0.003982067108154297,50,100
6,model_with_pwl_costs_6,0.004055976867675781,50,100
7,model_with_pwl_costs_7,0.00403141975402832,50,100
8,model_with_pwl_costs_8,0.004130125045776367,50,100
9,model_with_pwl_costs_9,0.0042192935943603516,50,100
10,model_with_pwl_costs_10,0.004196882247924805,50,100
11,model_with_pwl_costs_11,0.004372835159301758,50,100
12,model_with_pwl_costs_12,0.004342079162597656,50,100
13,model_with_pwl_costs_13,0.004623889923095703,50,100
14,model_with_pwl_costs_14,0.004409074783325195,50,100
15,model_with_pwl_costs_15,0.004589080810546875,50,100
16,model_with_pwl_costs_16,0.004498004913330078,50,100
17,model_with_pwl_costs_17,0.004559040069580078,50,100
18,model_with_pwl_costs_18,0.004481077194213867,50,100
19,model_with_pwl_costs_19,0.004520893096923828,50,100
20,model_with_pwl_costs_20,0.0045680999755859375,50,100
21,model_with_pwl_costs_21,0.004619121551513672,50,100
22,model_with_pwl_costs_22,0.004853010177612305,50,100
23,model_with_pwl_costs_23,0.004812002182006836,50,100
24,model_with_pwl_costs_24,0.0047762393951416016,50,100
0,model_with_separate_variables_0,0.053456783294677734,100,100
1,model_with_separate_variables_1,0.06931400299072266,100,100
2,model_with_separate_variables_2,0.08696293830871582,100,100
3,model_with_separate_variables_3,0.1148529052734375,100,100
4,model_with_separate_variables_4,0.11977100372314453,100,100
5,model_with_separate_variables_5,0.13617801666259766,100,100
6,model_with_separate_variables_6,0.17088890075683594,100,100
7,model_with_separate_variables_7,0.17057085037231445,100,100
8,model_with_separate_variables_8,0.1907811164855957,100,100
9,model_with_separate_variables_9,0.22587800025939941,100,100
10,model_with_separate_variables_10,0.21944737434387207,100,100
11,model_with_separate_variables_11,0.24066996574401855,100,100
12,model_with_separate_variables_12,0.28491902351379395,100,100
13,model_with_separate_variables_13,0.27127599716186523,100,100
14,model_with_separate_variables_14,0.2867090702056885,100,100
15,model_with_separate_variables_15,0.3106551170349121,100,100
16,model_with_separate_variables_16,0.35961008071899414,100,100
17,model_with_separate_variables_17,0.34867095947265625,100,100
18,model_with_separate_variables_18,0.3600161075592041,100,100
19,model_with_separate_variables_19,0.36994218826293945,100,100
20,model_with_separate_variables_20,0.43123388290405273,100,100
21,model_with_separate_variables_21,0.40701985359191895,100,100
22,model_with_separate_variables_22,0.42726898193359375,100,100
23,model_with_separate_variables_23,0.4454348087310791,100,100
24,model_with_separate_variables_24,0.5041530132293701,100,100
0,model_with_pwl_costs_0,0.00668787956237793,100,100
1,model_with_pwl_costs_1,0.0067691802978515625,100,100
2,model_with_pwl_costs_2,0.0068171024322509766,100,100
3,model_with_pwl_costs_3,0.0069370269775390625,100,100
4,model_with_pwl_costs_4,0.0069179534912109375,100,100
5,model_with_pwl_costs_5,0.007025003433227539,100,100
6,model_with_pwl_costs_6,0.008002042770385742,100,100
7,model_with_pwl_costs_7,0.007120847702026367,100,100
8,model_with_pwl_costs_8,0.007270097732543945,100,100
9,model_with_pwl_costs_9,0.008215188980102539,100,100
10,model_with_pwl_costs_10,0.007653236389160156,100,100
11,model_with_pwl_costs_11,0.008270740509033203,100,100
12,model_with_pwl_costs_12,0.007858037948608398,100,100
13,model_with_pwl_costs_13,0.007826089859008789,100,100
14,model_with_pwl_costs_14,0.00860595703125,100,100
15,model_with_pwl_costs_15,0.007873058319091797,100,100
16,model_with_pwl_costs_16,0.008095979690551758,100,100
17,model_with_pwl_costs_17,0.008183002471923828,100,100
18,model_with_pwl_costs_18,0.008712053298950195,100,100
19,model_with_pwl_costs_19,0.008475065231323242,100,100
20,model_with_pwl_costs_20,0.008410215377807617,100,100
21,model_with_pwl_costs_21,0.008625268936157227,100,100
22,model_with_pwl_costs_22,0.008694171905517578,100,100
23,model_with_pwl_costs_23,0.008916139602661133,100,100
24,model_with_pwl_costs_24,0.008853912353515625,100,100
0,model_with_separate_variables_0,0.13049077987670898,250,100
1,model_with_separate_variables_1,0.1730647087097168,250,100
2,model_with_separate_variables_2,0.21248388290405273,250,100
3,model_with_separate_variables_3,0.25710368156433105,250,100
4,model_with_separate_variables_4,0.3000779151916504,250,100
5,model_with_separate_variables_5,0.38072681427001953,250,100
6,model_with_separate_variables_6,0.3870735168457031,250,100
7,model_with_separate_variables_7,0.47376465797424316,250,100
8,model_with_separate_variables_8,0.47353506088256836,250,100
9,model_with_separate_variables_9,0.5677289962768555,250,100
10,model_with_separate_variables_10,0.5792300701141357,250,100
11,model_with_separate_variables_11,0.6394820213317871,250,100
12,model_with_separate_variables_12,0.7362649440765381,250,100
13,model_with_separate_variables_13,0.7277648448944092,250,100
14,model_with_separate_variables_14,0.7626898288726807,250,100
15,model_with_separate_variables_15,0.8436925411224365,250,100
16,model_with_separate_variables_16,0.8182029724121094,250,100
17,model_with_separate_variables_17,0.856238842010498,250,100
18,model_with_separate_variables_18,0.9718530178070068,250,100
19,model_with_separate_variables_19,0.9370808601379395,250,100
20,model_with_separate_variables_20,0.9854447841644287,250,100
21,model_with_separate_variables_21,1.020721197128296,250,100
22,model_with_separate_variables_22,1.1712138652801514,250,100
23,model_with_separate_variables_23,1.1220800876617432,250,100
24,model_with_separate_variables_24,1.1678216457366943,250,100
0,model_with_pwl_costs_0,0.015114545822143555,250,100
1,model_with_pwl_costs_1,0.014896631240844727,250,100
2,model_with_pwl_costs_2,0.015360832214355469,250,100
3,model_with_pwl_costs_3,0.015336751937866211,250,100
4,model_with_pwl_costs_4,0.015433788299560547,250,100
5,model_with_pwl_costs_5,0.01635885238647461,250,100
6,model_with_pwl_costs_6,0.01617884635925293,250,100
7,model_with_pwl_costs_7,0.016093969345092773,250,100
8,model_with_pwl_costs_8,0.016707658767700195,250,100
9,model_with_pwl_costs_9,0.01700615882873535,250,100
10,model_with_pwl_costs_10,0.016977787017822266,250,100
11,model_with_pwl_costs_11,0.017750024795532227,250,100
12,model_with_pwl_costs_12,0.01722407341003418,250,100
13,model_with_pwl_costs_13,0.01740097999572754,250,100
14,model_with_pwl_costs_14,0.018237829208374023,250,100
15,model_with_pwl_costs_15,0.018287181854248047,250,100
16,model_with_pwl_costs_16,0.01830291748046875,250,100
17,model_with_pwl_costs_17,0.019006967544555664,250,100
18,model_with_pwl_costs_18,0.018812894821166992,250,100
19,model_with_pwl_costs_19,0.019170761108398438,250,100
20,model_with_pwl_costs_20,0.019611835479736328,250,100
21,model_with_pwl_costs_21,0.01999497413635254,250,100
22,model_with_pwl_costs_22,0.01997089385986328,250,100
23,model_with_pwl_costs_23,0.02007770538330078,250,100
24,model_with_pwl_costs_24,0.020535707473754883,250,100
0,model_with_separate_variables_0,0.27211523056030273,500,100
1,model_with_separate_variables_1,0.38892626762390137,500,100
2,model_with_separate_variables_2,0.46237993240356445,500,100
3,model_with_separate_variables_3,0.5582540035247803,500,100
4,model_with_separate_variables_4,0.649893045425415,500,100
5,model_with_separate_variables_5,0.7535760402679443,500,100
6,model_with_separate_variables_6,0.7916362285614014,500,100
7,model_with_separate_variables_7,0.9394350051879883,500,100
8,model_with_separate_variables_8,1.0274631977081299,500,100
9,model_with_separate_variables_9,1.0589957237243652,500,100
10,model_with_separate_variables_10,1.1383171081542969,500,100
11,model_with_separate_variables_11,1.3143081665039062,500,100
12,model_with_separate_variables_12,1.3170380592346191,500,100
13,model_with_separate_variables_13,1.506317138671875,500,100
14,model_with_separate_variables_14,1.4992012977600098,500,100
15,model_with_separate_variables_15,1.5555691719055176,500,100
16,model_with_separate_variables_16,1.7628860473632812,500,100
17,model_with_separate_variables_17,1.7198388576507568,500,100
18,model_with_separate_variables_18,1.8046541213989258,500,100
19,model_with_separate_variables_19,2.0533127784729004,500,100
20,model_with_separate_variables_20,1.9993200302124023,500,100
21,model_with_separate_variables_21,2.0776872634887695,500,100
22,model_with_separate_variables_22,2.1699020862579346,500,100
23,model_with_separate_variables_23,2.4216837882995605,500,100
24,model_with_separate_variables_24,2.334596872329712,500,100
0,model_with_pwl_costs_0,0.030135154724121094,500,100
1,model_with_pwl_costs_1,0.03081202507019043,500,100
2,model_with_pwl_costs_2,0.029132366180419922,500,100
3,model_with_pwl_costs_3,0.030762195587158203,500,100
4,model_with_pwl_costs_4,0.02972888946533203,500,100
5,model_with_pwl_costs_5,0.03154301643371582,500,100
6,model_with_pwl_costs_6,0.03163313865661621,500,100
7,model_with_pwl_costs_7,0.032279253005981445,500,100
8,model_with_pwl_costs_8,0.032109975814819336,500,100
9,model_with_pwl_costs_9,0.033200979232788086,500,100
10,model_with_pwl_costs_10,0.03298306465148926,500,100
11,model_with_pwl_costs_11,0.03402590751647949,500,100
12,model_with_pwl_costs_12,0.03334212303161621,500,100
13,model_with_pwl_costs_13,0.03485608100891113,500,100
14,model_with_pwl_costs_14,0.034336090087890625,500,100
15,model_with_pwl_costs_15,0.03560209274291992,500,100
16,model_with_pwl_costs_16,0.035334110260009766,500,100
17,model_with_pwl_costs_17,0.036520957946777344,500,100
18,model_with_pwl_costs_18,0.03563213348388672,500,100
19,model_with_pwl_costs_19,0.037461042404174805,500,100
20,model_with_pwl_costs_20,0.037934064865112305,500,100
21,model_with_pwl_costs_21,0.038416147232055664,500,100
22,model_with_pwl_costs_22,0.0391840934753418,500,100
23,model_with_pwl_costs_23,0.04011392593383789,500,100
24,model_with_pwl_costs_24,0.040212154388427734,500,100
0,model_with_separate_variables_0,0.007629871368408203,5,250
1,model_with_separate_variables_1,0.009458065032958984,5,250
2,model_with_separate_variables_2,0.012073755264282227,5,250
3,model_with_separate_variables_3,0.013388872146606445,5,250
4,model_with_separate_variables_4,0.01583576202392578,5,250
5,model_with_separate_variables_5,0.0179598331451416,5,250
6,model_with_separate_variables_6,0.019538164138793945,5,250
7,model_with_separate_variables_7,0.02242875099182129,5,250
8,model_with_separate_variables_8,0.024185657501220703,5,250
9,model_with_separate_variables_9,0.026679039001464844,5,250
10,model_with_separate_variables_10,0.02824997901916504,5,250
11,model_with_separate_variables_11,0.030546903610229492,5,250
12,model_with_separate_variables_12,0.03255271911621094,5,250
13,model_with_separate_variables_13,0.03395557403564453,5,250
14,model_with_separate_variables_14,0.03727293014526367,5,250
15,model_with_separate_variables_15,0.038333892822265625,5,250
16,model_with_separate_variables_16,0.041194915771484375,5,250
17,model_with_separate_variables_17,0.04395103454589844,5,250
18,model_with_separate_variables_18,0.04552173614501953,5,250
19,model_with_separate_variables_19,0.04869484901428223,5,250
20,model_with_separate_variables_20,0.050151824951171875,5,250
21,model_with_separate_variables_21,0.0518038272857666,5,250
22,model_with_separate_variables_22,0.05387473106384277,5,250
23,model_with_separate_variables_23,0.056061744689941406,5,250
24,model_with_separate_variables_24,0.0578768253326416,5,250
0,model_with_pwl_costs_0,0.001531839370727539,5,250
1,model_with_pwl_costs_1,0.0014967918395996094,5,250
2,model_with_pwl_costs_2,0.0015668869018554688,5,250
3,model_with_pwl_costs_3,0.0015230178833007812,5,250
4,model_with_pwl_costs_4,0.0017058849334716797,5,250
5,model_with_pwl_costs_5,0.0015938282012939453,5,250
6,model_with_pwl_costs_6,0.0015265941619873047,5,250
7,model_with_pwl_costs_7,0.0015358924865722656,5,250
8,model_with_pwl_costs_8,0.0015406608581542969,5,250
9,model_with_pwl_costs_9,0.0016777515411376953,5,250
10,model_with_pwl_costs_10,0.0015790462493896484,5,250
11,model_with_pwl_costs_11,0.0015838146209716797,5,250
12,model_with_pwl_costs_12,0.0016257762908935547,5,250
13,model_with_pwl_costs_13,0.0015969276428222656,5,250
14,model_with_pwl_costs_14,0.0016016960144042969,5,250
15,model_with_pwl_costs_15,0.00160980224609375,5,250
16,model_with_pwl_costs_16,0.0016148090362548828,5,250
17,model_with_pwl_costs_17,0.0016231536865234375,5,250
18,model_with_pwl_costs_18,0.0016236305236816406,5,250
19,model_with_pwl_costs_19,0.0016307830810546875,5,250
20,model_with_pwl_costs_20,0.0016429424285888672,5,250
21,model_with_pwl_costs_21,0.001638174057006836,5,250
22,model_with_pwl_costs_22,0.0016167163848876953,5,250
23,model_with_pwl_costs_23,0.0016491413116455078,5,250
24,model_with_pwl_costs_24,0.0016210079193115234,5,250
0,model_with_separate_variables_0,0.03297615051269531,20,250
1,model_with_separate_variables_1,0.035874128341674805,20,250
2,model_with_separate_variables_2,0.04316401481628418,20,250
3,model_with_separate_variables_3,0.05292010307312012,20,250
4,model_with_separate_variables_4,0.06073927879333496,20,250
5,model_with_separate_variables_5,0.06951427459716797,20,250
6,model_with_separate_variables_6,0.08931827545166016,20,250
7,model_with_separate_variables_7,0.08784198760986328,20,250
8,model_with_separate_variables_8,0.09293007850646973,20,250
9,model_with_separate_variables_9,0.10108232498168945,20,250
10,model_with_separate_variables_10,0.10961532592773438,20,250
11,model_with_separate_variables_11,0.11768221855163574,20,250
12,model_with_separate_variables_12,0.1424722671508789,20,250
13,model_with_separate_variables_13,0.13198089599609375,20,250
14,model_with_separate_variables_14,0.14115118980407715,20,250
15,model_with_separate_variables_15,0.150712251663208,20,250
16,model_with_separate_variables_16,0.15590906143188477,20,250
17,model_with_separate_variables_17,0.19503998756408691,20,250
18,model_with_separate_variables_18,0.1801011562347412,20,250
19,model_with_separate_variables_19,0.18106889724731445,20,250
20,model_with_separate_variables_20,0.19169282913208008,20,250
21,model_with_separate_variables_21,0.19778680801391602,20,250
22,model_with_separate_variables_22,0.2076582908630371,20,250
23,model_with_separate_variables_23,0.21971702575683594,20,250
24,model_with_separate_variables_24,0.2290792465209961,20,250
0,model_with_pwl_costs_0,0.003222227096557617,20,250
1,model_with_pwl_costs_1,0.003172159194946289,20,250
2,model_with_pwl_costs_2,0.030735015869140625,20,250
3,model_with_pwl_costs_3,0.003299236297607422,20,250
4,model_with_pwl_costs_4,0.0033783912658691406,20,250
5,model_with_pwl_costs_5,0.0032329559326171875,20,250
6,model_with_pwl_costs_6,0.003258228302001953,20,250
7,model_with_pwl_costs_7,0.0037441253662109375,20,250
8,model_with_pwl_costs_8,0.003384828567504883,20,250
9,model_with_pwl_costs_9,0.003355264663696289,20,250
10,model_with_pwl_costs_10,0.0035161972045898438,20,250
11,model_with_pwl_costs_11,0.003442049026489258,20,250
12,model_with_pwl_costs_12,0.003427267074584961,20,250
13,model_with_pwl_costs_13,0.0035181045532226562,20,250
14,model_with_pwl_costs_14,0.003463268280029297,20,250
15,model_with_pwl_costs_15,0.0034911632537841797,20,250
16,model_with_pwl_costs_16,0.003473997116088867,20,250
17,model_with_pwl_costs_17,0.003572225570678711,20,250
18,model_with_pwl_costs_18,0.003585338592529297,20,250
19,model_with_pwl_costs_19,0.0036983489990234375,20,250
20,model_with_pwl_costs_20,0.0039520263671875,20,250
21,model_with_pwl_costs_21,0.0037903785705566406,20,250
22,model_with_pwl_costs_22,0.0036301612854003906,20,250
23,model_with_pwl_costs_23,0.0035772323608398438,20,250
24,model_with_pwl_costs_24,0.0036079883575439453,20,250
0,model_with_separate_variables_0,0.0667269229888916,50,250
1,model_with_separate_variables_1,0.08811497688293457,50,250
2,model_with_separate_variables_2,0.10899662971496582,50,250
3,model_with_separate_variables_3,0.14242768287658691,50,250
4,model_with_separate_variables_4,0.14920616149902344,50,250
5,model_with_separate_variables_5,0.18782711029052734,50,250
6,model_with_separate_variables_6,0.191328763961792,50,250
7,model_with_separate_variables_7,0.21457791328430176,50,250
8,model_with_separate_variables_8,0.2601349353790283,50,250
9,model_with_separate_variables_9,0.25278210639953613,50,250
10,model_with_separate_variables_10,0.2741692066192627,50,250
11,model_with_separate_variables_11,0.3260958194732666,50,250
12,model_with_separate_variables_12,0.31294703483581543,50,250
13,model_with_separate_variables_13,0.3446316719055176,50,250
14,model_with_separate_variables_14,0.3641841411590576,50,250
15,model_with_separate_variables_15,0.41724586486816406,50,250
16,model_with_separate_variables_16,0.4003009796142578,50,250
17,model_with_separate_variables_17,0.4209139347076416,50,250
18,model_with_separate_variables_18,0.4484100341796875,50,250
19,model_with_separate_variables_19,0.5159568786621094,50,250
20,model_with_separate_variables_20,0.5023303031921387,50,250
21,model_with_separate_variables_21,0.5191178321838379,50,250
22,model_with_separate_variables_22,0.5311620235443115,50,250
23,model_with_separate_variables_23,0.5451240539550781,50,250
24,model_with_separate_variables_24,0.5784587860107422,50,250
0,model_with_pwl_costs_0,0.0064351558685302734,50,250
1,model_with_pwl_costs_1,0.0065288543701171875,50,250
2,model_with_pwl_costs_2,0.006573200225830078,50,250
3,model_with_pwl_costs_3,0.00650787353515625,50,250
4,model_with_pwl_costs_4,0.0065610408782958984,50,250
5,model_with_pwl_costs_5,0.006647586822509766,50,250
6,model_with_pwl_costs_6,0.0069561004638671875,50,250
7,model_with_pwl_costs_7,0.006796121597290039,50,250
8,model_with_pwl_costs_8,0.007170677185058594,50,250
9,model_with_pwl_costs_9,0.006861209869384766,50,250
10,model_with_pwl_costs_10,0.0069103240966796875,50,250
11,model_with_pwl_costs_11,0.006920814514160156,50,250
12,model_with_pwl_costs_12,0.006913900375366211,50,250
13,model_with_pwl_costs_13,0.00694584846496582,50,250
14,model_with_pwl_costs_14,0.007462978363037109,50,250
15,model_with_pwl_costs_15,0.007101774215698242,50,250
16,model_with_pwl_costs_16,0.007185935974121094,50,250
17,model_with_pwl_costs_17,0.0075228214263916016,50,250
18,model_with_pwl_costs_18,0.007466793060302734,50,250
19,model_with_pwl_costs_19,0.007534027099609375,50,250
20,model_with_pwl_costs_20,0.007501125335693359,50,250
21,model_with_pwl_costs_21,0.009563922882080078,50,250
22,model_with_pwl_costs_22,0.0076198577880859375,50,250
23,model_with_pwl_costs_23,0.007606029510498047,50,250
24,model_with_pwl_costs_24,0.007764101028442383,50,250
0,model_with_separate_variables_0,0.13547325134277344,100,250
1,model_with_separate_variables_1,0.18469905853271484,100,250
2,model_with_separate_variables_2,0.23010778427124023,100,250
3,model_with_separate_variables_3,0.2807931900024414,100,250
4,model_with_separate_variables_4,0.2937500476837158,100,250
5,model_with_separate_variables_5,0.3621811866760254,100,250
6,model_with_separate_variables_6,0.38539791107177734,100,250
7,model_with_separate_variables_7,0.46674299240112305,100,250
8,model_with_separate_variables_8,0.47344326972961426,100,250
9,model_with_separate_variables_9,0.5589807033538818,100,250
10,model_with_separate_variables_10,0.560279369354248,100,250
11,model_with_separate_variables_11,0.6575217247009277,100,250
12,model_with_separate_variables_12,0.6616199016571045,100,250
13,model_with_separate_variables_13,0.689100980758667,100,250
14,model_with_separate_variables_14,0.7259602546691895,100,250
15,model_with_separate_variables_15,0.8325979709625244,100,250
16,model_with_separate_variables_16,0.8215391635894775,100,250
17,model_with_separate_variables_17,0.8551480770111084,100,250
18,model_with_separate_variables_18,0.8973820209503174,100,250
19,model_with_separate_variables_19,1.0195131301879883,100,250
20,model_with_separate_variables_20,0.9907798767089844,100,250
21,model_with_separate_variables_21,1.038985252380371,100,250
22,model_with_separate_variables_22,1.0595881938934326,100,250
23,model_with_separate_variables_23,1.189946174621582,100,250
24,model_with_separate_variables_24,1.1493959426879883,100,250
0,model_with_pwl_costs_0,0.011631011962890625,100,250
1,model_with_pwl_costs_1,0.011710882186889648,100,250
2,model_with_pwl_costs_2,0.011654138565063477,100,250
3,model_with_pwl_costs_3,0.01212620735168457,100,250
4,model_with_pwl_costs_4,0.011865854263305664,100,250
5,model_with_pwl_costs_5,0.012619972229003906,100,250
6,model_with_pwl_costs_6,0.012407064437866211,100,250
7,model_with_pwl_costs_7,0.01225900650024414,100,250
8,model_with_pwl_costs_8,0.01317596435546875,100,250
9,model_with_pwl_costs_9,0.012718677520751953,100,250
10,model_with_pwl_costs_10,0.013015031814575195,100,250
11,model_with_pwl_costs_11,0.012814044952392578,100,250
12,model_with_pwl_costs_12,0.013015031814575195,100,250
13,model_with_pwl_costs_13,0.013229131698608398,100,250
14,model_with_pwl_costs_14,0.013282060623168945,100,250
15,model_with_pwl_costs_15,0.013466119766235352,100,250
16,model_with_pwl_costs_16,0.013463973999023438,100,250
17,model_with_pwl_costs_17,0.013776063919067383,100,250
18,model_with_pwl_costs_18,0.013669252395629883,100,250
19,model_with_pwl_costs_19,0.01371002197265625,100,250
20,model_with_pwl_costs_20,0.01396322250366211,100,250
21,model_with_pwl_costs_21,0.013972759246826172,100,250
22,model_with_pwl_costs_22,0.014123201370239258,100,250
23,model_with_pwl_costs_23,0.014274120330810547,100,250
24,model_with_pwl_costs_24,0.014615058898925781,100,250
0,model_with_separate_variables_0,0.3211078643798828,250,250
1,model_with_separate_variables_1,0.4197218418121338,250,250
2,model_with_separate_variables_2,0.5428049564361572,250,250
3,model_with_separate_variables_3,0.6838338375091553,250,250
4,model_with_separate_variables_4,0.7893459796905518,250,250
5,model_with_separate_variables_5,0.917011022567749,250,250
6,model_with_separate_variables_6,1.0226149559020996,250,250
7,model_with_separate_variables_7,1.07515287399292,250,250
8,model_with_separate_variables_8,1.280616044998169,250,250
9,model_with_separate_variables_9,1.2945637702941895,250,250
10,model_with_separate_variables_10,1.4059560298919678,250,250
11,model_with_separate_variables_11,1.6494028568267822,250,250
12,model_with_separate_variables_12,1.6038060188293457,250,250
13,model_with_separate_variables_13,1.8517489433288574,250,250
14,model_with_separate_variables_14,1.8449687957763672,250,250
15,model_with_separate_variables_15,1.947131633758545,250,250
16,model_with_separate_variables_16,2.0564210414886475,250,250
17,model_with_separate_variables_17,2.4292097091674805,250,250
18,model_with_separate_variables_18,2.3052127361297607,250,250
19,model_with_separate_variables_19,2.451235055923462,250,250
20,model_with_separate_variables_20,2.679659128189087,250,250
21,model_with_separate_variables_21,2.6170287132263184,250,250
22,model_with_separate_variables_22,2.721735954284668,250,250
23,model_with_separate_variables_23,2.8240699768066406,250,250
24,model_with_separate_variables_24,2.9101829528808594,250,250
0,model_with_pwl_costs_0,0.027333736419677734,250,250
1,model_with_pwl_costs_1,0.027285099029541016,250,250
2,model_with_pwl_costs_2,0.027683019638061523,250,250
3,model_with_pwl_costs_3,0.027678966522216797,250,250
4,model_with_pwl_costs_4,0.027811050415039062,250,250
5,model_with_pwl_costs_5,0.0288546085357666,250,250
6,model_with_pwl_costs_6,0.028279781341552734,250,250
7,model_with_pwl_costs_7,0.028400897979736328,250,250
8,model_with_pwl_costs_8,0.028648853302001953,250,250
9,model_with_pwl_costs_9,0.02885603904724121,250,250
