model number,model name,time taken to build model (in seconds),number of partitions,partition size
14,model_with_separate_variables_14,0.008199930191040039,50,5
15,model_with_separate_variables_15,0.00860595703125,50,5
16,model_with_separate_variables_16,0.009231805801391602,50,5
17,model_with_separate_variables_17,0.0094451904296875,50,5
18,model_with_separate_variables_18,0.010008811950683594,50,5
19,model_with_separate_variables_19,0.009928703308105469,50,5
20,model_with_separate_variables_20,0.010539770126342773,50,5
21,model_with_separate_variables_21,0.011065244674682617,50,5
22,model_with_separate_variables_22,0.011193037033081055,50,5
23,model_with_separate_variables_23,0.011649608612060547,50,5
24,model_with_separate_variables_24,0.012357234954833984,50,5
0,model_with_pwl_costs_0,0.001965761184692383,50,5
1,model_with_pwl_costs_1,0.0023419857025146484,50,5
2,model_with_pwl_costs_2,0.002015829086303711,50,5
3,model_with_pwl_costs_3,0.002074003219604492,50,5
4,model_with_pwl_costs_4,0.0021309852600097656,50,5
5,model_with_pwl_costs_5,0.0021619796752929688,50,5
6,model_with_pwl_costs_6,0.002229928970336914,50,5
7,model_with_pwl_costs_7,0.002274036407470703,50,5
8,model_with_pwl_costs_8,0.002296924591064453,50,5
9,model_with_pwl_costs_9,0.0023458003997802734,50,5
10,model_with_pwl_costs_10,0.0024919509887695312,50,5
11,model_with_pwl_costs_11,0.0024580955505371094,50,5
12,model_with_pwl_costs_12,0.0025167465209960938,50,5
13,model_with_pwl_costs_13,0.0025217533111572266,50,5
14,model_with_pwl_costs_14,0.002567768096923828,50,5
15,model_with_pwl_costs_15,0.0026099681854248047,50,5
16,model_with_pwl_costs_16,0.002634286880493164,50,5
17,model_with_pwl_costs_17,0.002699136734008789,50,5
18,model_with_pwl_costs_18,0.002730131149291992,50,5
19,model_with_pwl_costs_19,0.002813100814819336,50,5
20,model_with_pwl_costs_20,0.002840757369995117,50,5
21,model_with_pwl_costs_21,0.002871990203857422,50,5
22,model_with_pwl_costs_22,0.002961874008178711,50,5
23,model_with_pwl_costs_23,0.0030362606048583984,50,5
24,model_with_pwl_costs_24,0.0030388832092285156,50,5
0,model_with_separate_variables_0,0.00458216667175293,100,5
1,model_with_separate_variables_1,0.005937099456787109,100,5
2,model_with_separate_variables_2,0.006214141845703125,100,5
3,model_with_separate_variables_3,0.007410287857055664,100,5
4,model_with_separate_variables_4,0.014811277389526367,100,5
5,model_with_separate_variables_5,0.008640289306640625,100,5
6,model_with_separate_variables_6,0.009556293487548828,100,5
7,model_with_separate_variables_7,0.010469198226928711,100,5
8,model_with_separate_variables_8,0.010946035385131836,100,5
9,model_with_separate_variables_9,0.011818170547485352,100,5
10,model_with_separate_variables_10,0.01250600814819336,100,5
11,model_with_separate_variables_11,0.01345205307006836,100,5
12,model_with_separate_variables_12,0.014235496520996094,100,5
13,model_with_separate_variables_13,0.015326261520385742,100,5
14,model_with_separate_variables_14,0.01584935188293457,100,5
15,model_with_separate_variables_15,0.02433037757873535,100,5
16,model_with_separate_variables_16,0.017667055130004883,100,5
17,model_with_separate_variables_17,0.018284082412719727,100,5
18,model_with_separate_variables_18,0.018948078155517578,100,5
19,model_with_separate_variables_19,0.020570993423461914,100,5
20,model_with_separate_variables_20,0.02069234848022461,100,5
21,model_with_separate_variables_21,0.029931068420410156,100,5
22,model_with_separate_variables_22,0.022832155227661133,100,5
23,model_with_separate_variables_23,0.022916316986083984,100,5
24,model_with_separate_variables_24,0.024202823638916016,100,5
0,model_with_pwl_costs_0,0.0031430721282958984,100,5
1,model_with_pwl_costs_1,0.0031442642211914062,100,5
2,model_with_pwl_costs_2,0.0032279491424560547,100,5
3,model_with_pwl_costs_3,0.0033233165740966797,100,5
4,model_with_pwl_costs_4,0.003387451171875,100,5
5,model_with_pwl_costs_5,0.004098176956176758,100,5
6,model_with_pwl_costs_6,0.0036063194274902344,100,5
7,model_with_pwl_costs_7,0.003826141357421875,100,5
8,model_with_pwl_costs_8,0.0037610530853271484,100,5
9,model_with_pwl_costs_9,0.003844022750854492,100,5
10,model_with_pwl_costs_10,0.003953218460083008,100,5
11,model_with_pwl_costs_11,0.004034996032714844,100,5
12,model_with_pwl_costs_12,0.004178285598754883,100,5
13,model_with_pwl_costs_13,0.004354238510131836,100,5
14,model_with_pwl_costs_14,0.004303932189941406,100,5
15,model_with_pwl_costs_15,0.004487037658691406,100,5
16,model_with_pwl_costs_16,0.004590034484863281,100,5
17,model_with_pwl_costs_17,0.0046234130859375,100,5
18,model_with_pwl_costs_18,0.004694223403930664,100,5
19,model_with_pwl_costs_19,0.004781007766723633,100,5
20,model_with_pwl_costs_20,0.004904270172119141,100,5
21,model_with_pwl_costs_21,0.00486302375793457,100,5
22,model_with_pwl_costs_22,0.004996299743652344,100,5
23,model_with_pwl_costs_23,0.005236148834228516,100,5
24,model_with_pwl_costs_24,0.0054590702056884766,100,5
0,model_with_separate_variables_0,0.010577917098999023,250,5
1,model_with_separate_variables_1,0.01217961311340332,250,5
2,model_with_separate_variables_2,0.021947860717773438,250,5
3,model_with_separate_variables_3,0.016484737396240234,250,5
4,model_with_separate_variables_4,0.0180206298828125,250,5
5,model_with_separate_variables_5,0.02060556411743164,250,5
6,model_with_separate_variables_6,0.0220487117767334,250,5
7,model_with_separate_variables_7,0.02486872673034668,250,5
8,model_with_separate_variables_8,0.026439905166625977,250,5
9,model_with_separate_variables_9,0.03779959678649902,250,5
10,model_with_separate_variables_10,0.030765771865844727,250,5
11,model_with_separate_variables_11,0.037509918212890625,250,5
12,model_with_separate_variables_12,0.04694104194641113,250,5
13,model_with_separate_variables_13,0.036383628845214844,250,5
14,model_with_separate_variables_14,0.039258718490600586,250,5
15,model_with_separate_variables_15,0.05254983901977539,250,5
16,model_with_separate_variables_16,0.04308891296386719,250,5
17,model_with_separate_variables_17,0.0445556640625,250,5
18,model_with_separate_variables_18,0.058355093002319336,250,5
19,model_with_separate_variables_19,0.048985958099365234,250,5
20,model_with_separate_variables_20,0.06253600120544434,250,5
21,model_with_separate_variables_21,0.054268836975097656,250,5
22,model_with_separate_variables_22,0.06846094131469727,250,5
