model number,model name,time taken to optimise (in seconds),number of partitions,partition size,time taken to build model (in seconds)
7,model_with_pwl_costs_7,0.00011396408081054688,20,5,0.0018413066864013672
8,model_with_pwl_costs_8,0.00011205673217773438,20,5,0.0018677711486816406
9,model_with_pwl_costs_9,0.0001080036163330078,20,5,0.0018742084503173828
10,model_with_pwl_costs_10,0.00010895729064941406,20,5,0.0018908977508544922
11,model_with_pwl_costs_11,0.00011897087097167969,20,5,0.001913309097290039
12,model_with_pwl_costs_12,0.000110626220703125,20,5,0.001924991607666016
13,model_with_pwl_costs_13,0.00011110305786132812,20,5,0.001950979232788086
14,model_with_pwl_costs_14,0.00011205673217773438,20,5,0.001989126205444336
15,model_with_pwl_costs_15,0.00011014938354492188,20,5,0.0019872188568115234
16,model_with_pwl_costs_16,0.0001080036163330078,20,5,0.002008199691772461
17,model_with_pwl_costs_17,0.00011205673217773438,20,5,0.0020241737365722656
18,model_with_pwl_costs_18,0.00011706352233886721,20,5,0.0020482540130615234
19,model_with_pwl_costs_19,0.00011014938354492188,20,5,0.0021309852600097656
20,model_with_pwl_costs_20,0.00011014938354492188,20,5,0.002153158187866211
21,model_with_pwl_costs_21,0.00011086463928222656,20,5,0.0021708011627197266
22,model_with_pwl_costs_22,0.00011110305786132812,20,5,0.002184152603149414
23,model_with_pwl_costs_23,0.00011324882507324221,20,5,0.002330303192138672
24,model_with_pwl_costs_24,0.0001080036163330078,20,5,0.0022001266479492188
0,model_with_separate_variables_0,0.00045108795166015625,50,5,0.002773046493530273
1,model_with_separate_variables_1,0.0003020763397216797,50,5,0.003205060958862305
2,model_with_separate_variables_2,0.0002980232238769531,50,5,0.003580331802368164
3,model_with_separate_variables_3,0.00028324127197265625,50,5,0.003947019577026367
4,model_with_separate_variables_4,0.0002872943878173828,50,5,0.004450798034667969
5,model_with_separate_variables_5,0.00027704238891601557,50,5,0.004662990570068359
6,model_with_separate_variables_6,0.0002841949462890625,50,5,0.005138874053955078
7,model_with_separate_variables_7,0.0002849102020263672,50,5,0.005542755126953125
8,model_with_separate_variables_8,0.00028705596923828125,50,5,0.005741119384765625
9,model_with_separate_variables_9,0.0002880096435546875,50,5,0.006115913391113281
10,model_with_separate_variables_10,0.00029397010803222656,50,5,0.006705760955810547
11,model_with_separate_variables_11,0.0002901554107666016,50,5,0.007139921188354492
12,model_with_separate_variables_12,0.0002830028533935547,50,5,0.00750422477722168
13,model_with_separate_variables_13,0.00028204917907714844,50,5,0.014775037765502931
14,model_with_separate_variables_14,0.0002880096435546875,50,5,0.008199930191040039
15,model_with_separate_variables_15,0.0002827644348144531,50,5,0.00860595703125
16,model_with_separate_variables_16,0.00028395652770996094,50,5,0.009231805801391602
17,model_with_separate_variables_17,0.00028705596923828125,50,5,0.0094451904296875
18,model_with_separate_variables_18,0.0002849102020263672,50,5,0.010008811950683594
19,model_with_separate_variables_19,0.00028014183044433594,50,5,0.009928703308105469
20,model_with_separate_variables_20,0.0003299713134765625,50,5,0.010539770126342772
21,model_with_separate_variables_21,0.000386953353881836,50,5,0.011065244674682615
22,model_with_separate_variables_22,0.00031280517578125,50,5,0.011193037033081056
23,model_with_separate_variables_23,0.0003998279571533203,50,5,0.011649608612060549
24,model_with_separate_variables_24,0.0003769397735595703,50,5,0.012357234954833984
0,model_with_pwl_costs_0,0.00024199485778808594,50,5,0.001965761184692383
1,model_with_pwl_costs_1,0.00020194053649902344,50,5,0.0023419857025146484
2,model_with_pwl_costs_2,0.0002338886260986328,50,5,0.002015829086303711
3,model_with_pwl_costs_3,0.00014400482177734375,50,5,0.002074003219604492
4,model_with_pwl_costs_4,0.00015020370483398438,50,5,0.0021309852600097656
5,model_with_pwl_costs_5,0.00014209747314453125,50,5,0.0021619796752929688
6,model_with_pwl_costs_6,0.00014781951904296875,50,5,0.002229928970336914
7,model_with_pwl_costs_7,0.0001556873321533203,50,5,0.002274036407470703
8,model_with_pwl_costs_8,0.0001418590545654297,50,5,0.002296924591064453
9,model_with_pwl_costs_9,0.00014495849609375,50,5,0.002345800399780273
10,model_with_pwl_costs_10,0.00015401840209960938,50,5,0.002491950988769531
11,model_with_pwl_costs_11,0.00015115737915039062,50,5,0.002458095550537109
12,model_with_pwl_costs_12,0.00014066696166992188,50,5,0.0025167465209960933
13,model_with_pwl_costs_13,0.00013995170593261721,50,5,0.0025217533111572266
14,model_with_pwl_costs_14,0.00013804435729980471,50,5,0.002567768096923828
15,model_with_pwl_costs_15,0.00014090538024902344,50,5,0.002609968185424805
16,model_with_pwl_costs_16,0.0001418590545654297,50,5,0.002634286880493164
17,model_with_pwl_costs_17,0.00014400482177734375,50,5,0.002699136734008789
18,model_with_pwl_costs_18,0.00019693374633789065,50,5,0.002730131149291992
19,model_with_pwl_costs_19,0.00014209747314453125,50,5,0.002813100814819336
20,model_with_pwl_costs_20,0.00014209747314453125,50,5,0.002840757369995117
21,model_with_pwl_costs_21,0.00014209747314453125,50,5,0.002871990203857422
22,model_with_pwl_costs_22,0.00014591217041015625,50,5,0.002961874008178711
23,model_with_pwl_costs_23,0.0001499652862548828,50,5,0.0030362606048583984
24,model_with_pwl_costs_24,0.00014901161193847656,50,5,0.003038883209228516
0,model_with_separate_variables_0,0.0006389617919921875,100,5,0.00458216667175293
1,model_with_separate_variables_1,0.0004947185516357422,100,5,0.005937099456787109
2,model_with_separate_variables_2,0.0005109310150146483,100,5,0.006214141845703125
3,model_with_separate_variables_3,0.0005090236663818358,100,5,0.007410287857055664
4,model_with_separate_variables_4,0.0005018711090087892,100,5,0.014811277389526369
5,model_with_separate_variables_5,0.0005021095275878906,100,5,0.008640289306640625
6,model_with_separate_variables_6,0.0005040168762207031,100,5,0.009556293487548828
7,model_with_separate_variables_7,0.0005180835723876953,100,5,0.010469198226928713
8,model_with_separate_variables_8,0.0005130767822265625,100,5,0.010946035385131836
9,model_with_separate_variables_9,0.0005061626434326172,100,5,0.011818170547485352
10,model_with_separate_variables_10,0.0004942417144775392,100,5,0.01250600814819336
11,model_with_separate_variables_11,0.00046896934509277344,100,5,0.01345205307006836
12,model_with_separate_variables_12,0.000476837158203125,100,5,0.014235496520996094
13,model_with_separate_variables_13,0.00048089027404785156,100,5,0.01532626152038574
14,model_with_separate_variables_14,0.0004661083221435547,100,5,0.01584935188293457
15,model_with_separate_variables_15,0.00047016143798828125,100,5,0.02433037757873535
